ZIPCode;Latitude;Longitude
582 00;40.8024;22.05069
580 04;40.97515;22.14322
580 01;40.77007;22.31316
583 00;40.69596;22.31338
580 00;40.76004;22.52564
580 05;40.76004;22.52564
585 00;40.76754;22.1537
603 00;40.50222;22.54155
601 00;40.27148;22.50866
600 64;40.37786;22.57433
600 61;40.48866;22.49379
600 62;40.31293;22.58411
600 63;40.08691;22.50067
602 00;40.11248;22.51631
600 66;40.41478;22.56027
600 65;39.98698;22.56027
620 45;41.07008;23.9553
620 52;40.92354;23.87177
624 00;41.15149;23.3109
620 55;41.28063;23.01345
620 49;40.89468;23.75091
620 42;41.03017;23.82864
620 43;41.26667;23.3
620 44;41.03074;23.60394
622 00;40.90792;23.50035
620 48;41.09716;23.73948
620 47;37.88444;23.72933
620 41;40.87521;23.88227
620 53;38.11647;23.87542
621 00;41.04828;23.52523
621 21;41.08831;23.54282
621 22;41.08831;23.54282
621 23;41.0883;23.54443
621 24;41.08831;23.54282
621 25;41.08831;23.54282
622 00;40.89542;23.52523
623 00;37.33517;21.76643
620 54;41.04712;23.26327
620 46;41.23318;24.86595
630 78;40.27562;23.67998
630 74;40.49487;23.60137
630 73;40.46175;23.28649
630 87;40.32012;23.26922
630 75;40.39736;23.87498
630 86;40.26449;24.21527
630 77;40.05004;23.42313
630 76;40.44463;23.68022
630 80;40.32337;23.07578
632 00;40.19369;23.3278
630 79;40.30601;23.20855
630 81;40.0951;23.78291
630 88;40.20589;23.67773
630 71;40.29494;23.54369
630 85;39.9893;23.61265
631 00;40.37779;23.44024
630 72;36.76548;22.94244
700 03;35.13151;25.02287
700 12;39.5551;19.88507
700 13;35.19088;24.98728
700 04;35.05133;25.3889
703 00;35.14709;25.26532
701 00;35.23144;25.17706
700 16;37.55831;22.8625
714 14;35.371;25.01101
700 11;35.19584;25.05846
700 02;35.12345;24.90505
712 01;35.33549;25.13111
712 02;35.34302;25.14287
713 03;35.33494;25.11035
713 04;35.32722;25.11035
713 05;35.32747;25.12666
713 06;35.33382;25.14445
713 07;35.33382;25.14445
713 09;35.33382;25.14445
714 09;35.29843;25.15334
714 10;35.29218;25.11184
715 00;35.28868;25.01101
700 06;40.92224;24.38229
700 01;35.2219;24.93982
700 14;35.30499;25.35487
700 07;35.2865;25.46373
704 00;34.96644;24.83301
700 05;35.26369;25.42279
716 01;35.32876;25.16445
700 10;35.01764;25.1652
700 10;35.04269;25.14946
700 10;35.01764;25.1652
702 00;35.05946;24.78553
721 00;35.12005;25.67467
720 53;35.2617;25.72332
722 00;35.01548;25.74244
720 51;35.16021;25.64382
720 56;35.08018;25.58527
724 00;37.964;23.98685
723 00;35.21663;26.10193
720 55;35.08138;25.93497
720 52;35.1989;25.48873
720 57;35.15977;25.93906
720 59;35.05093;26.11231
740 56;35.10848;24.70242
740 60;35.22682;24.65031
740 61;35.22682;24.65031
740 51;35.28641;24.88049
740 54;35.34434;24.78879
740 55;35.29061;24.3427
740 00;35.19905;24.40292
740 60;35.19905;24.40292
740 57;35.38068;24.94853
740 52;39.69355;20.84559
740 52;35.38025;24.73626
741 00;35.36687;24.47473
740 53;35.21889;24.53611
730 05;35.45421;23.91211
730 12;35.35997;23.59567
730 08;35.40312;24.20822
730 02;35.44508;23.79898
730 07;35.3371;24.26283
730 03;35.43713;24.13204
730 04;35.33376;23.73654
733 00;35.47968;24.01609
734 00;35.46686;23.64427
730 06;35.55834;23.75138
733 00;35.47968;24.01609
730 01;35.30117;23.64427
730 14;39.1472;23.28339
730 09;35.28917;23.78242
732 00;35.47676;24.06664
731 00;35.51581;24.02171
731 31;35.51581;24.02171
731 32;35.51581;24.02171
731 33;35.51581;24.02171
731 34;35.49718;24.03764
731 35;35.51581;24.02171
731 36;35.51581;24.02171
730 11;35.20119;24.13657
853 02;36.79985;27.10294
851 02;36.16538;28.04203
859 00;36.54708;26.3516
851 03;36.2955;28.16218
851 09;36.01868;27.92832
851 01;36.4133;28.15505
851 05;37.95552;23.70204
852 00;36.94992;26.98412
857 00;35.58069;27.15
858 00;35.40105;26.92637
851 04;36.40093;28.11812
853 00;36.79985;27.10294
850 01;37.2965;26.77153
854 00;37.14884;26.83802
851 07;36.08578;28.05959
851 11;36.15043;29.58794
853 03;36.59542;27.16177
851 06;36.29734;27.99519
855 00;37.31328;26.54412
851 00;36.44324;28.22701
856 00;36.61289;27.83774
850 02;36.42307;27.3734
851 10;36.23021;27.5848
848 01;36.70205;24.49124
840 08;36.84002;25.88766
840 09;36.35125;25.76786
845 00;37.86648;24.85675
840 07;37.04426;25.07785
845 01;37.88732;24.73568
847 03;36.35159;25.44374
847 00;36.39316;25.46151
840 01;36.69051;25.35487
840 02;37.60758;24.31037
840 04;36.81734;24.5599
845 00;37.84122;24.88049
845 02;37.77704;24.92202
840 06;37.41249;24.42986
848 00;36.7469;24.43092
846 00;37.44688;25.34302
843 00;37.10682;25.37558
844 01;37.12363;25.23975
847 02;36.4619;25.37589
842 01;37.64288;25.03979
844 00;37.04531;25.21263
840 05;37.15628;24.48862
840 10;36.69323;25.11174
840 03;36.98815;24.70242
841 00;37.46349;24.91609
842 00;37.5378;25.16138
840 11;36.65174;24.86561
843 02;37.88284;22.7262
210 55;37.64741;22.89255
210 00;37.73254;22.51259
212 00;37.61041;22.66754
210 60;37.54028;22.89251
210 51;37.38545;23.24352
213 00;37.37856;23.16183
210 52;37.58841;23.07268
211 00;37.56818;22.80867
210 54;37.67698;23.12857
210 53;37.59121;22.73973
210 59;37.63789;23.15699
210 56;37.52058;22.85915
220 06;39.79741;19.75237
220 01;37.40315;22.71873
220 14;37.70532;22.09673
220 16;37.29493;22.36954
220 10;37.66973;22.18273
220 07;37.59603;22.03936
220 22;37.48507;22.0417
220 13;39.62291;22.681
220 27;37.40239;22.28231
220 15;37.79667;21.89897
220 03;37.68546;22.03571
220 02;37.68429;22.29576
220 21;37.3212;22.14504
223 00;37.16778;22.86215
222 00;37.40225;22.13677
220 28;37.5094;22.36605
220 19;37.41574;22.76684
220 12;37.45887;22.4353
